original_index,cluster_label
249853,4
12330,3
132835,1
242989,1
214448,1
164489,4
163746,3
81472,3
73259,0
136623,3
198380,3
199781,2
107710,0
135713,2
206923,0
209307,3
21983,0
141410,3
130512,4
15460,2
171374,0
77270,0
22653,2
210149,2
217144,1
79527,1
229836,4
121227,2
216118,1
235987,3
228550,2
194959,2
80913,2
43338,1
96881,2
165820,2
18584,2
42519,3
237195,3
154105,2
131898,0
31724,0
159303,1
104462,2
450,0
73360,2
78965,4
141251,4
142017,0
105806,3
90071,1
230701,0
248703,1
222315,0
75058,2
124615,3
158641,4
243644,3
3804,2
111465,0
213596,0
139933,2
161731,2
235854,1
234343,2
3488,3
28299,4
21343,4
110245,2
227168,2
96992,4
157030,1
197010,1
149140,1
229652,1
148118,3
188618,4
112402,4
160345,2
228695,3
26508,1
78758,3
72844,0
182950,0
189074,3
251436,4
77873,0
222042,3
27639,1
151309,4
133913,3
237544,1
10541,1
128647,0
35842,3
249020,1
161119,4
58463,2
166279,3
242014,0
72544,0
167888,1
209580,2
178893,2
160543,4
97396,4
249133,1
235332,0
200498,3
159291,1
204296,0
232038,0
122994,2
226457,3
224285,2
111436,3
82542,1
85002,3
183495,0
178301,4
214751,1
120137,0
221364,4
220224,1
220671,1
170294,2
195521,3
28696,2
94266,0
71821,3
169121,3
132693,3
211220,2
196931,2
223798,3
148770,3
122164,3
216317,2
181207,4
196934,0
190429,1
217960,1
43031,2
238721,3
76532,3
69437,3
44286,2
67296,3
195895,1
109884,4
195327,3
5495,2
191084,1
95987,4
24146,3
62939,2
16241,3
62800,1
87279,3
21972,1
196364,2
23610,4
142122,0
174855,0
44025,1
147520,0
2045,0
239605,2
184616,3
211079,1
103246,4
183027,4
136362,0
103874,1
166528,0
185530,3
45811,2
212857,2
92609,2
165083,4
32573,1
11449,0
190108,1
20984,0
187970,2
184522,2
246603,4
5957,4
90827,1
206057,2
158504,2
251987,2
110351,1
232290,2
159597,1
18066,2
243898,0
152297,1
133237,2
251435,4
139610,0
249453,4
55640,4
5971,1
45673,0
12916,0
42001,0
51787,2
85234,1
2501,3
204130,3
174738,1
188162,4
152832,1
86559,0
68801,4
219236,4
85069,3
150905,4
169231,4
162076,2
44365,3
111855,3
213250,1
84618,0
160712,2
146235,4
108126,1
87399,0
59841,1
94611,1
158358,3
38437,0
86059,1
9595,0
97056,3
50008,4
77771,1
69158,3
246016,1
175019,2
136643,2
24604,3
74514,2
22709,0
219817,1
68581,1
203964,0
215367,1
120298,1
230678,3
122402,0
165973,4
11215,4
8917,3
9714,2
147456,3
1911,1
128208,4
91443,1
33392,3
58095,2
57232,1
176267,1
135086,1
224972,4
62339,0
166073,1
188311,3
244907,2
230492,0
219128,4
30054,3
69754,4
196974,3
97068,1
131196,4
212311,1
167700,4
45403,0
98799,3
251703,2
9984,1
1661,0
146005,1
143476,2
225325,2
55807,0
222760,0
13645,0
134263,1
152475,1
80706,2
103541,1
96292,4
159178,3
175112,0
133805,3
34800,1
167067,2
104961,3
243911,3
32307,1
197340,2
132356,0
232867,0
235100,4
33378,1
85183,3
44560,2
106040,3
182442,4
85544,2
169201,2
82300,3
242803,1
123149,3
37478,3
222366,0
183570,2
106958,4
59105,3
146023,0
68678,3
43683,1
28993,2
118543,0
97963,4
92710,1
223307,4
164627,3
218357,1
245443,0
166877,3
156006,3
218556,2
20687,3
184212,2
176176,3
241856,2
49549,4
192542,4
238327,2
228224,1
130295,0
149999,1
181044,1
100560,3
18026,1
140944,3
139107,3
70145,1
31052,2
189355,0
123573,3
149468,4
250372,3
47612,1
206773,0
204596,4
157296,2
691,2
234852,3
105966,3
217901,0
89831,3
162514,1
158451,1
183447,4
123472,4
17620,1
3341,1
114172,3
80906,2
35899,0
49542,1
55477,2
110181,4
116473,1
221194,3
165605,3
203582,2
220230,2
135157,3
202807,1
173522,2
162641,1
162030,2
167717,3
56787,3
47266,1
87005,0
27066,4
239687,1
107663,4
98321,2
51763,3
124835,3
71179,4
203281,3
120952,0
119789,1
72099,3
212709,1
166096,3
163383,4
210399,0
69637,1
188358,0
10814,4
186764,3
133964,3
114634,2
180019,0
163999,4
32356,2
89817,1
15857,3
143836,0
251150,2
140714,4
224543,1
235459,3
157800,0
25509,4
237661,4
246745,3
230093,0
111879,0
233709,4
54546,0
104250,1
60479,1
12569,3
96431,2
168162,1
126989,3
185286,0
118808,2
107475,1
135549,3
151337,4
162012,3
150058,2
217535,1
42399,3
78629,2
247405,2
76343,1
212873,0
14746,1
192658,4
224026,1
86613,0
219729,2
247119,2
179391,0
14477,4
124544,2
142979,3
138834,1
105904,2
119928,3
147675,2
117449,1
6129,4
14757,2
147183,1
199260,2
145499,2
63044,3
182441,0
242121,2
204716,3
22796,2
16218,0
220842,2
102698,2
154411,0
93946,1
212118,2
85777,0
50130,2
135288,0
236634,0
237110,2
141894,0
46693,3
248721,2
241686,0
125434,2
176625,0
208113,1
42127,2
21038,4
180363,4
49264,2
114368,1
125380,0
41188,4
11852,0
215656,3
89108,2
28264,1
120905,1
232836,3
25072,2
76048,3
104559,0
15635,3
191276,1
139959,1
33516,2
54092,3
94362,0
202641,2
138343,3
230487,3
251022,0
247890,4
208057,0
238454,1
63090,4
181339,4
138738,4
52366,0
63394,2
58208,3
70018,0
62240,2
33018,2
71890,3
83269,2
128321,2
161087,0
206783,2
179853,2
53199,0
126726,0
39789,4
94759,2
140866,2
63168,1
203135,0
47711,2
207602,2
38393,0
36164,4
94996,2
85814,3
70873,2
56301,0
2009,3
12465,0
197830,4
119726,1
252864,3
110206,1
193041,1
231313,4
157908,0
102133,3
123056,3
18228,0
146162,1
204400,2
34104,2
142962,2
2682,0
131942,1
142642,3
253026,3
189641,1
118060,3
7273,3
105960,4
167312,2
157222,0
233272,0
32798,2
45568,0
142924,4
80780,2
166081,3
85314,0
104701,1
158116,3
170529,0
70917,0
81687,4
140084,0
9051,0
221455,1
15726,1
209005,0
2286,2
160386,2
57175,2
25159,1
107936,1
112973,4
162296,1
224134,3
114984,3
175364,4
97103,2
57041,0
108288,1
100250,0
235143,1
38333,2
95991,3
28742,2
67485,3
31934,4
105778,3
172163,3
20926,3
128151,2
78657,3
235020,1
53760,1
53420,2
88659,2
180376,3
56283,1
49130,0
194785,0
221835,3
122133,1
210150,2
170666,1
51759,3
10340,1
203655,0
19641,4
105770,1
14890,0
131253,3
49107,2
17537,3
200108,3
169530,0
240176,4
15275,4
37878,0
244718,2
231694,2
59703,3
70664,2
105461,1
220545,4
186177,0
161801,0
188405,4
192663,0
216207,2
33686,3
193133,3
60017,3
218850,3
40363,1
50583,1
77597,1
248393,4
187343,3
228996,2
132323,4
6920,2
67344,2
188892,1
210114,2
153614,1
166367,1
57623,1
136754,2
2975,3
103055,3
98470,3
244198,3
36187,0
166581,3
72277,3
20535,2
235401,2
175941,4
58579,4
55235,0
28078,2
612,3
57925,3
248546,3
87087,3
117409,4
186590,0
162507,3
150247,1
63761,3
134876,1
101773,4
210301,4
11468,3
145594,1
78297,2
170969,1
56295,4
115213,1
152148,4
64547,0
158430,2
61080,3
205490,1
1311,3
137301,1
174642,0
50907,4
107975,1
137148,4
194830,4
38482,0
137647,3
184812,1
221416,2
69659,0
151349,0
142567,4
180783,3
221402,2
215740,0
191840,1
8269,3
24591,2
52941,2
85917,1
113947,3
253438,0
201594,2
30463,2
214733,2
152206,0
144728,2
84682,1
208394,0
79590,3
99524,2
230963,2
35756,2
178080,1
28687,0
74301,2
78906,1
117114,4
85326,4
161548,4
165845,1
206100,0
165703,3
188266,1
149342,2
9181,1
109714,3
16868,3
99507,1
152912,2
134116,3
68478,0
112682,2
65647,3
146748,4
239594,2
176247,1
165190,2
84703,4
245703,0
7487,3
107787,1
20916,2
56113,1
110055,2
241415,1
224498,3
33313,2
20739,4
142737,2
85562,1
173755,1
98990,2
86327,1
96406,0
198741,2
202209,1
3584,1
7616,4
103201,4
190473,3
55310,1
239852,2
93669,4
30735,1
248839,3
212295,4
49763,0
40622,3
217081,1
200180,1
132881,4
11467,2
111996,3
185651,2
241548,0
120148,2
196864,0
111318,0
56738,2
182999,4
221987,3
239768,1
159800,4
153460,3
117522,2
178779,2
51034,2
48810,4
94948,4
15250,2
180032,3
199555,3
61330,1
209677,2
194288,3
178133,2
139562,0
20695,2
107079,4
107744,2
8925,4
110256,2
66711,3
14744,1
192271,3
198446,3
236391,1
176850,1
42078,2
176244,3
238311,3
155548,4
25791,4
227921,1
132273,0
246027,2
104483,3
180404,3
114539,1
33752,4
253070,3
43248,3
54516,0
50694,2
83818,4
78012,2
243999,0
63279,4
13872,0
53428,1
124400,3
9086,4
251683,0
38232,2
74048,4
187917,3
46531,0
171739,1
59316,3
2508,3
140642,1
144279,4
53687,1
217333,3
85824,3
248500,4
230081,1
4238,3
120707,0
158031,4
234958,1
13738,1
33360,2
7836,3
167876,1
199762,3
71457,3
101322,2
64874,2
171809,1
812,3
14696,2
30913,1
114538,3
83667,1
4195,4
142560,1
130176,1
150729,0
86346,2
141561,2
84566,4
221572,0
92199,2
150287,2
215535,0
243861,0
77131,0
79531,3
9111,2
59214,1
233101,2
127284,1
166945,4
174725,4
17785,3
163592,2
25672,1
35745,4
76911,0
187378,1
101302,1
190578,3
248188,2
227846,4
59699,2
97239,3
8599,2
134975,3
249602,3
231488,0
145156,0
200999,4
242848,0
78681,3
108443,1
103905,3
24501,2
174182,3
125790,2
63647,1
23140,3
244194,2
58370,2
172157,3
176393,4
177001,3
36828,1
94360,2
125190,1
225719,2
110262,0
69159,1
243961,0
94701,3
60919,3
136601,3
85477,4
136657,0
57118,0
156891,0
181935,4
21761,3
69721,4
214524,2
96617,0
13685,1
115828,1
125666,3
253335,0
189350,0
143823,0
101892,3
84870,3
67530,1
88671,3
174254,3
92169,3
32461,1
125709,3
186174,1
168902,2
212751,2
167232,2
73387,1
210574,4
47560,1
129208,4
202599,0
153621,1
173088,3
109009,2
92690,1
63309,4
85838,1
26500,1
23051,1
3005,1
134014,4
33029,2
146699,3
38408,0
58889,0
14569,3
229491,4
214569,1
233619,4
108005,0
218977,1
7489,4
145628,2
84397,0
15184,2
233556,2
155753,3
170194,2
97263,3
210595,2
93446,2
29354,0
247875,4
4202,4
243719,0
7339,4
194181,3
5899,2
98017,4
28205,1
13028,0
20303,4
205400,2
158516,4
70633,3
151294,0
184223,3
112055,1
48946,3
75000,0
56402,0
102808,3
51125,1
20429,1
226113,0
244393,4
144704,1
5826,1
202218,0
137268,2
59288,3
110654,2
193818,4
151018,2
141190,1
98601,2
95384,3
250859,0
87053,2
103588,2
67211,1
11231,3
68912,2
124190,0
60068,1
104302,3
21209,4
70630,3
114489,2
205330,1
243487,0
98729,2
141644,3
5186,2
190889,0
76746,2
180802,2
235637,4
250243,0
46443,0
76981,2
127734,3
173034,0
157770,1
237896,3
78165,1
95204,2
24867,2
66860,4
155553,1
80743,0
174587,0
12119,1
239226,1
9764,3
137315,4
89252,3
239277,4
230757,1
75606,2
60378,3
212697,1
78094,4
117209,3
238829,3
175424,4
28734,2
1094,3
235542,0
48288,2
92474,0
29139,4
79243,1
130569,1
199799,3
107979,4
118838,3
168041,3
250981,2
97750,1
160929,0
43153,1
70557,4
83184,3
3573,3
36990,4
105046,0
219783,2
49351,0
195041,3
24627,0
214278,3
23435,1
52356,3
37101,3
145392,1
217484,1
157050,0
188771,1
84082,3
250191,1
68523,4
233979,0
56566,4
163057,4
54127,2
142215,2
114747,0
253356,0
141716,1
167596,4
9894,0
39490,2
121071,3
17665,2
46720,3
21538,2
48890,2
177938,1
73051,2
98717,4
15116,1
120176,3
1417,3
160249,2
184889,4
89291,3
198111,0
160282,1
178887,4
35910,4
43168,1
221123,3
195915,4
235485,2
83410,2
155526,0
8403,2
130902,1
109453,4
192536,1
3935,2
68745,2
182917,3
179343,2
214812,4
7731,1
87469,2
138530,1
219051,2
214896,3
215654,2
144920,2
244728,1
249368,2
102106,0
65150,1
211818,2
96234,2
99685,3
52534,3
89731,4
214753,1
124093,3
143275,3
120104,3
112419,2
205530,2
199854,0
161751,2
151132,1
186740,4
216692,1
26932,1
112650,3
174919,4
7729,4
196834,4
120393,3
146146,3
101095,1
245409,3
36835,3
209603,3
146173,2
246010,4
246164,2
82072,2
166742,0
159676,3
169975,2
236629,2
81010,3
134025,2
165343,4
37483,2
63117,0
223904,1
75445,3
192102,0
203274,0
212902,1
120090,0
16982,0
214936,1
86828,2
54788,2
164903,3
117300,2
3043,2
130202,2
170880,3
203124,2
197104,0
76915,3
215088,0
147306,0
107336,0
214806,4
211241,3
125813,0
131695,3
69454,2
151943,3
175532,0
41069,4
218512,1
220186,3
104717,0
106825,0
145285,3
10183,2
94034,0
107653,2
145823,3
238225,4
94911,3
204445,3
58220,1
148079,2
63891,2
130794,0
191105,1
52917,3
216525,2
150600,3
131341,0
97683,1
71921,2
205829,2
90938,3
164070,1
200099,2
202758,0
3024,1
17863,3
91353,4
172994,0
24806,1
128771,1
124602,0
38244,0
198677,2
55128,1
226629,0
49290,0
189973,1
43201,3
243633,0
126707,0
214551,3
12877,2
105144,0
44078,4
154298,3
232906,2
147201,1
171702,4
145060,4
245048,0
234796,1
178092,3
220811,2
115764,0
192708,0
100358,1
75614,3
249523,2
148169,0
19905,3
195897,4
178820,4
82756,2
94363,2
29197,4
